volume,ph
0,2.02
0.6,2.01
0.8,2.01
1,2.02
1.5,2.02
2,2.04
3,2.05
4,2.12
5,2.2
5.5,2.37
5.7,2.64
6,2.64
6.2,2.66
6.4,2.72
6.5,2.75
6.6,2.78
6.7,2.83
6.8,2.88
6.9,2.95
7,3
7.1,3.04
7.2,3.1
7.25,3.15
7.3,3.18
7.35,3.21
7.5,3.33
7.55,3.39
7.6,3.45
7.81,3.59
7.81,3.59
7.85,3.69
7.9,3.8
8,3.93
8.05,4.13
8.1,4.36
8.15,4.01
8.2,4.8
8.25,4.95
8.3,5.09
8.35,5.2
8.4,5.29
8.45,5.35
8.5,5.43
8.55,5.46
8.6,5.53
8.65,5.59
8.75,5.64
8.85,5.57
8.95,5.84
9.05,5.93
9.2,5.97
9.3,6.03
9.5,6.14
9.7,6.25
9.8,6.3
9.9,6.41
10,6.44
10.1,6.51
10.2,6.57
10.3,6.64
10.4,6.72
10.6,6.8
10.8,6.96
11,7.18
11.2,7.38
11.3,7.5
11.4,7.6
11.5,7.7
11.6,7.85
11.7,7.96
11.8,8.02
11.9,8.17
12,8.24
12.1,8.26
12.2,8.33
12.3,8.4
12.4,8.48
12.5,8.58
12.6,8.68
12.8,8.72
13,8.83
13.2,8.9
13.4,9.04
13.6,9.22
13.7,9.35
13.8,9.46
13.9,9.61
13.95,9.28
14,9.78
14.1,9.97
14.2,10.05
14.25,10.15
14.3,10.23
14.35,10.32
14.4,10.4
14.5,10.5
14.55,10.5
14.6,10.64
14.65,10.69
14.7,10.73
14.8,10.82
15,10.95
15.2,11.04
15.4,11.12
15.6,11.18
15.8,11.25
16,11.32
16.3,11.38
16.6,11.43
17,11.49
17.5,11.55
18,11.62
20,11.79
22,11.95
